,index,year,inc_activity,inc_grants,inc_donations,inc_other,inc_total,total_costs,grants_given,balance,assets,staff_costs,survivor,sh_income_inc_activity,sh_staff_inc_activity,sh_assets_inc_activity,sh_income_inc_grants,sh_staff_inc_grants,sh_assets_inc_grants,sh_income_inc_donations,sh_staff_inc_donations,sh_assets_inc_donations,sh_income_inc_other,sh_staff_inc_other,sh_assets_inc_other,sh_staff_inc_total,sh_assets_inc_total,sh_income_total_costs,sh_staff_total_costs,sh_assets_total_costs,sh_income_grants_given,sh_staff_grants_given,sh_assets_grants_given,sh_income_balance,sh_staff_balance,sh_assets_balance,sh_income_assets,sh_staff_assets,sh_income_staff_costs,sh_assets_staff_costs,wgt
count,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0,918.0
mean,110.66013071895425,2012.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.673202614379085,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.450980392156863
std,64.71659515895993,1.708756076285985,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.4692981654161354,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2.0810444586489654
min,1.0,2010.0,-3459.0,0.0,0.0,-556000.0,5557.0,8197.0,0.0,-30600000.0,-26700000.0,0.0,0.0,-0.007131547201424837,-0.01236324105411768,-100.875,0.0,0.0,-7.875446319580078,0.0,0.0,-67.05882263183594,-0.005776035599410534,-0.008986147120594978,-4.1875,0.08734125643968582,-169.5294189453125,0.1058240532875061,0.2976614236831665,-174.0,0.0,0.0,-56.6875,-0.7720638513565063,-3.0599026679992676,-289.63970947265625,-0.09705561399459839,-0.41718751192092896,0.0,-39.47058868408203,1.0
25%,39.0,2011.0,19926.0,32641.0,26514.25,286.25,529029.25,497473.25,0.0,233112.5,248309.0,199244.25,0.0,0.023535417392849922,0.146757572889328,0.02744471188634634,0.020243164617568254,0.10627339594066143,0.01444505900144577,0.032569185830652714,0.09983428008854389,0.0579162472859025,0.00036779831862077117,0.0016686015587765723,0.0010072328732348979,1.6973379254341125,0.9135567098855972,0.9317706823348999,1.6982696950435638,0.7806967198848724,0.0,0.0,0.0,0.29739557206630707,0.6936026364564896,1.0,0.29868825525045395,0.7099943161010742,0.27780279517173767,0.24388790130615234,1.0
50%,127.0,2012.5,353879.0,400266.5,329188.0,22264.5,1527071.5,1486640.5,0.0,1801804.5,1783958.0,783941.5,1.0,0.20604591071605682,0.7043236494064331,0.24682039767503738,0.28811247646808624,0.843077689409256,0.43732447922229767,0.325162798166275,0.9282053411006927,0.38524216413497925,0.006683808518573642,0.027107855305075645,0.012240133713930845,2.69135320186615,2.11659038066864,1.0054370760917664,2.570748805999756,2.0363833904266357,0.0,0.0,0.0,0.6429883539676666,1.8187865614891052,1.0,0.6360451877117157,1.7955469489097595,0.4709494411945343,0.8480616509914398,2.0
75%,165.0,2014.0,10325250.0,4785761.25,18827342.0,579750.0,62637750.0,60753000.0,38373250.0,42068250.0,32146074.0,18373170.0,1.0,0.7317550480365753,2.4984490275382996,1.833354264497757,0.8306010067462921,2.1219924092292786,2.3811510801315308,0.7637983709573746,3.8471474647521973,1.4260624051094055,0.061564743518829346,0.5010867044329643,0.0675635077059269,7.663413763046265,4.899777054786682,1.1285471022129059,6.204956889152527,4.866385817527771,0.837728962302208,8.98846567431158e+307,1.3800315856933594,2.3305041193962097,12.344438076019287,1.0,2.2548104524612427,12.214220762252808,0.6845566183328629,2.4583519101142883,3.0
max,203.0,2015.0,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,1.0,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,8.98846567431158e+307,11.0
