,index,year,inc_activity,inc_grants,inc_donations,inc_other,inc_total,total_costs,grants_given,balance,assets,staff_costs,survivor,sh_income_inc_activity,sh_staff_inc_activity,sh_assets_inc_activity,sh_income_inc_grants,sh_staff_inc_grants,sh_assets_inc_grants,sh_income_inc_donations,sh_staff_inc_donations,sh_assets_inc_donations,sh_income_inc_other,sh_staff_inc_other,sh_assets_inc_other,sh_staff_inc_total,sh_assets_inc_total,sh_income_total_costs,sh_staff_total_costs,sh_assets_total_costs,sh_income_grants_given,sh_staff_grants_given,sh_assets_grants_given,sh_income_balance,sh_staff_balance,sh_assets_balance,sh_income_assets,sh_staff_assets,sh_income_staff_costs,sh_assets_staff_costs,wgt
count,918.0,918.0,815.0,815.0,811.0,804.0,815.0,815.0,716.0,813.0,815.0,810.0,918.0,815.0,748.0,809.0,815.0,748.0,809.0,811.0,744.0,805.0,804.0,737.0,798.0,748.0,809.0,815.0,748.0,809.0,716.0,649.0,711.0,813.0,746.0,807.0,815.0,748.0,810.0,804.0,918.0
mean,110.66013071895425,2012.5,11784089.144785276,5997797.03803681,15988772.556103576,445775.25373134325,34742787.077300616,32809671.99631902,7982982.331005586,35025258.0393604,31180788.120245397,12127980.451851852,0.673202614379085,0.28694821263221526,1.0899540544527477,1.405904234262345,0.3376946410284268,0.8551370766373709,2.6143313064971245,0.3302055801279929,1.7911423826897916,1.2810513166828845,0.04693902742563206,0.15203320520651015,0.09626895036333201,3.8973104099837697,5.517306983726484,1.0640494656343402,3.5413358166893536,5.639035896367044,0.13603805030914617,0.9469362172220642,0.14441320657305703,1.8626050022422485,12.974613042526139,0.7863342995753066,1.864529619224518,12.958950944573875,0.4432488154332487,2.339050671923066,2.450980392156863
std,64.71659515895993,1.708756076285985,42843423.86635022,24053237.033965252,47023003.98155364,1198416.4917133457,85081262.17552975,80507222.190699,93843497.63318597,118996282.22888094,109202079.69113266,28383734.01864297,0.46929816541613534,0.32157517459760504,2.772526571386885,13.801011517990975,0.3499547596529695,1.2192016000191674,21.144740708581555,0.32330340230290733,7.290307329617987,11.322673651243381,0.12766817729731428,0.6563466102854378,1.4563031914945672,8.02425658868911,31.711841005117403,1.0206510924789916,6.312672482531362,32.81418924394191,0.6288854793511098,5.740510505642293,3.46639555330835,4.881786738401529,87.06490852362354,10.627006397399946,4.868544031832344,86.95829335233573,0.4950770909557131,17.996526375563384,2.081044458648965
min,1.0,2010.0,-3459.0,0.0,0.0,-556000.0,5557.0,8197.0,0.0,-30600000.0,-26700000.0,0.0,0.0,-0.007131547201424837,-0.01236324105411768,-100.875,0.0,0.0,-7.875446319580078,0.0,0.0,-67.05882263183594,-0.005776035599410534,-0.008986147120594978,-4.1875,0.08734125643968582,-169.5294189453125,0.1058240532875061,0.2976614236831665,-174.0,0.0,0.0,-56.6875,-0.7720638513565063,-3.0599026679992676,-289.63970947265625,-0.09705561399459839,-0.41718751192092896,0.0,-39.47058868408203,1.0
25%,39.0,2011.0,11212.0,13067.0,16257.5,134.5,494715.0,458550.0,0.0,201513.0,217204.5,162837.25,0.0,0.010798451025038958,0.05508533213287592,0.015051373280584812,0.011444676667451859,0.050966755487024784,0.007692271843552589,0.022063227370381355,0.041061580181121826,0.03354815021157265,0.0002124991333403159,0.000505731615703553,0.0005234344280324876,1.6036615669727325,0.7356385588645935,0.9145604074001312,1.5895302295684814,0.711083173751831,0.0,0.0,0.0,0.27172815799713135,0.5719182640314102,1.0,0.27600565552711487,0.6135343462228775,0.2474731169641018,0.1745871864259243,1.0
50%,127.0,2012.5,205165.0,293041.0,235141.0,7207.0,948875.0,924258.0,0.0,1158000.0,1169631.0,506239.0,1.0,0.15152765810489655,0.4043882042169571,0.16327279806137085,0.20095279812812805,0.5467489659786224,0.2665981650352478,0.22703108191490173,0.42917127907276154,0.25449278950691223,0.0043206061236560345,0.009771381504833698,0.007279600482434034,2.2006500959396362,1.7986711263656616,0.9937447905540466,2.1768743991851807,1.7600536346435547,0.0,0.0,0.0,0.5479652285575867,1.25826096534729,1.0,0.5466400980949402,1.2572827339172363,0.4201626181602478,0.6602092981338501,2.0
75%,165.0,2014.0,4212500.0,1519054.5,6113000.0,180896.5,13805875.0,13880316.5,0.0,12822000.0,11273000.0,6923507.75,1.0,0.495065376162529,1.157822161912918,0.691440224647522,0.6394135355949402,1.1771698594093323,1.513528823852539,0.590948224067688,1.5418324172496796,1.0256880521774292,0.024824464228004217,0.06481573730707169,0.029648547526448965,3.386020600795746,3.4572770595550537,1.0651887655258179,3.18462336063385,3.4400227069854736,0.0,0.0,0.0,1.2935032844543457,3.3992366790771484,1.0,1.2907902002334595,3.3055272698402405,0.6123107075691223,1.46161550283432,3.0
max,203.0,2015.0,421265984.0,249327008.0,475668000.0,9200000.0,680800000.0,602400000.0,2456000000.0,1149683968.0,1150333056.0,171214000.0,1.0,2.3179922103881836,30.009809494018555,278.73089599609375,1.0,10.790401458740234,558.2796630859375,1.0,129.5039520263672,278.2826843261719,1.0,8.740008354187012,40.56696319580078,130.5456085205078,593.2545166015625,21.53266143798828,73.44109344482422,634.9667358398438,9.940043449401855,68.27436828613281,36.623748779296875,38.465309143066406,1098.3458251953125,37.14875030517578,38.465309143066406,1098.3458251953125,11.449342727661133,464.588134765625,11.0
