Dep. Variable:,survivor,No. Observations:,811
Model:,Probit,Df Residuals:,806.0
Method:,MLE,Df Model:,4.0
Date:,"Thu, 09 Mar 2023",Pseudo R-squ.:,0.214
Time:,09:33:45,Log-Likelihood:,-400.46
converged:,True,LL-Null:,-509.5
Covariance Type:,nonrobust,LLR p-value:,4.875e-46

,coef,std err,z,P>|z|,[0.025,0.975]
const,0.0474,0.057,0.838,0.402,-0.063,0.158
inc_activity,1.836e-07,5.16e-08,3.559,0.0,8.25e-08,2.85e-07
inc_grants,8.576e-08,3.9e-08,2.197,0.028,9.25e-09,1.62e-07
inc_donations,2.406e-07,4.54e-08,5.297,0.0,1.52e-07,3.3e-07
total_costs,-8.644e-08,3.68e-08,-2.351,0.019,-1.59e-07,-1.44e-08

